$ALARM.ACKED                                    $ALARM.ACKED                                                                                                                                                                                                                                                                                                                                             
$ALARM.ACTIVE                                   $ALARM.ACTIVE                                                                                                                                                                                                                                                                                                                                            
$ALARM.TOTAL                                    $ALARM.TOTAL                                                                                                                                                                                                                                                                                                                                             
$ALARM.UNACKED                                  $ALARM.UNACKED                                                                                                                                                                                                                                                                                                                                           
$CLASS_HIGH.ALARMS                              $CLASS_HIGH.ALARMS                                                                                                                                                                                                                                                                                                                                       
$CLASS_HIGH.UNACKED                             $CLASS_HIGH.UNACKED                                                                                                                                                                                                                                                                                                                                      
$CLASS_HIGH.UNRESET                             $CLASS_HIGH.UNRESET                                                                                                                                                                                                                                                                                                                                      
$CLASS_LOW.ALARMS                               $CLASS_LOW.ALARMS                                                                                                                                                                                                                                                                                                                                        
$CLASS_LOW.UNACKED                              $CLASS_LOW.UNACKED                                                                                                                                                                                                                                                                                                                                       
$CLASS_LOW.UNRESET                              $CLASS_LOW.UNRESET                                                                                                                                                                                                                                                                                                                                       
$CLASS_MED.ALARMS                               $CLASS_MED.ALARMS                                                                                                                                                                                                                                                                                                                                        
$CLASS_MED.UNACKED                              $CLASS_MED.UNACKED                                                                                                                                                                                                                                                                                                                                       
$CLASS_MED.UNRESET                              $CLASS_MED.UNRESET                                                                                                                                                                                                                                                                                                                                       
$CLASS_SYS.ALARMS                               $CLASS_SYS.ALARMS                                                                                                                                                                                                                                                                                                                                        
$CLASS_SYS.UNACKED                              $CLASS_SYS.UNACKED                                                                                                                                                                                                                                                                                                                                       
$CLASS_SYS.UNRESET                              $CLASS_SYS.UNRESET                                                                                                                                                                                                                                                                                                                                       
$LOCAL.BIG_COUNTER                              $LOCAL.BIG_COUNTER                                                                                                                                                                                                                                                                                                                                       
$LOCAL.COMPUTER                                 $LOCAL.COMPUTER                                                                                                                                                                                                                                                                                                                                          
$LOCAL.COUNTER                                  $LOCAL.COUNTER                                                                                                                                                                                                                                                                                                                                           
$LOCAL.LICENSE.DAYSREMAINING                    $LOCAL.LICENSE.DAYSREMAINING                                                                                                                                                                                                                                                                                                                             
$LOCAL.LICENSE.ACTIVE                           $LOCAL.LICENSE.ACTIVE                                                                                                                                                                                                                                                                                                                                    
$LOCAL.DATE.AMPM                                $LOCAL.DATE.AMPM                                                                                                                                                                                                                                                                                                                                         
$LOCAL.DATE.DAY                                 $LOCAL.DATE.DAY                                                                                                                                                                                                                                                                                                                                          
$LOCAL.DATE.DAYOFWEEK                           $LOCAL.DATE.DAYOFWEEK                                                                                                                                                                                                                                                                                                                                    
$LOCAL.DATE.DAYOFYEAR                           $LOCAL.DATE.DAYOFYEAR                                                                                                                                                                                                                                                                                                                                    
$LOCAL.DATE.HOUR                                $LOCAL.DATE.HOUR                                                                                                                                                                                                                                                                                                                                         
$LOCAL.DATE.HOUR12                              $LOCAL.DATE.HOUR12                                                                                                                                                                                                                                                                                                                                       
$LOCAL.DATE.MINUTE                              $LOCAL.DATE.MINUTE                                                                                                                                                                                                                                                                                                                                       
$LOCAL.DATE.MONTH                               $LOCAL.DATE.MONTH                                                                                                                                                                                                                                                                                                                                        
$LOCAL.DATE.SECOND                              $LOCAL.DATE.SECOND                                                                                                                                                                                                                                                                                                                                       
$LOCAL.DATE.SECONDOFDAY                         $LOCAL.DATE.SECONDOFDAY                                                                                                                                                                                                                                                                                                                                  
$LOCAL.DATE.WEEK                                $LOCAL.DATE.WEEK                                                                                                                                                                                                                                                                                                                                         
$LOCAL.DATE.YEAR                                $LOCAL.DATE.YEAR                                                                                                                                                                                                                                                                                                                                         
$LOCAL.DATETIME                                 $LOCAL.DATETIME                                                                                                                                                                                                                                                                                                                                          
$LOCAL.DGR_STATE                                $LOCAL.DGR_STATE                                                                                                                                                                                                                                                                                                                                         
$LOCAL.WINUSER                                  $LOCAL.WINUSER                                                                                                                                                                                                                                                                                                                                           
$PROJECT                                        $PROJECT                                                                                                                                                                                                                                                                                                                                                 
$PROJECT.AVAILABLE                              $PROJECT.AVAILABLE                                                                                                                                                                                                                                                                                                                                       
$PROJECT.COMPUTER                               $PROJECT.COMPUTER                                                                                                                                                                                                                                                                                                                                        
$PROJECT.DATE.AMPM                              $PROJECT.DATE.AMPM                                                                                                                                                                                                                                                                                                                                       
$PROJECT.DATE.DAY                               $PROJECT.DATE.DAY                                                                                                                                                                                                                                                                                                                                        
$PROJECT.DATE.DAYOFWEEK                         $PROJECT.DATE.DAYOFWEEK                                                                                                                                                                                                                                                                                                                                  
$PROJECT.DATE.DAYOFYEAR                         $PROJECT.DATE.DAYOFYEAR                                                                                                                                                                                                                                                                                                                                  
$PROJECT.DATE.HOUR                              $PROJECT.DATE.HOUR                                                                                                                                                                                                                                                                                                                                       
$PROJECT.DATE.HOUR12                            $PROJECT.DATE.HOUR12                                                                                                                                                                                                                                                                                                                                     
$PROJECT.DATE.MINUTE                            $PROJECT.DATE.MINUTE                                                                                                                                                                                                                                                                                                                                     
$PROJECT.DATE.MONTH                             $PROJECT.DATE.MONTH                                                                                                                                                                                                                                                                                                                                      
$PROJECT.DATE.SECOND                            $PROJECT.DATE.SECOND                                                                                                                                                                                                                                                                                                                                     
$PROJECT.DATE.SECONDOFDAY                       $PROJECT.DATE.SECONDOFDAY                                                                                                                                                                                                                                                                                                                                
$PROJECT.DATE.WEEK                              $PROJECT.DATE.WEEK                                                                                                                                                                                                                                                                                                                                       
$PROJECT.DATE.YEAR                              $PROJECT.DATE.YEAR                                                                                                                                                                                                                                                                                                                                       
$PROJECT.DATETIME                               $PROJECT.DATETIME                                                                                                                                                                                                                                                                                                                                        
$PROJECT.DEVICES                                $PROJECT.DEVICES                                                                                                                                                                                                                                                                                                                                         
$PROJECT.LOGGEDIN                               $PROJECT.LOGGEDIN                                                                                                                                                                                                                                                                                                                                        
$PROJECT.USERS                                  $PROJECT.USERS                                                                                                                                                                                                                                                                                                                                           
$ROLE                                           $ROLE                                                                                                                                                                                                                                                                                                                                                    
$ROLE.LEVEL                                     $ROLE.LEVEL                                                                                                                                                                                                                                                                                                                                              
$USER                                           $USER                                                                                                                                                                                                                                                                                                                                                    
$USER.ALARMS                                    $USER.ALARMS                                                                                                                                                                                                                                                                                                                                             
07233-PAL-08301                                 07233-PAL-08301                                                                                                                                                                                                                                                                                                                                          
07233-PAL-08321                                 07233-PAL-08321                                                                                                                                                                                                                                                                                                                                          
02727-PI-08325                                  02727-PI-08325                                                                                                                                                                                                                                                                                                                                           
07233-PAL-08336                                 07233-PAL-08336                                                                                                                                                                                                                                                                                                                                          
07233-PAH-08321                                 07233-PAH-08321                                                                                                                                                                                                                                                                                                                                          
02727-PDAH-08363                                02727-PDAH-08363                                                                                                                                                                                                                                                                                                                                         
02727-PAL-08325                                 02727-PAL-08325                                                                                                                                                                                                                                                                                                                                          
02727-PDAH-08361                                02727-PDAH-08361                                                                                                                                                                                                                                                                                                                                         
02727-PAH-08325                                 02727-PAH-08325                                                                                                                                                                                                                                                                                                                                          
02727-PAL-08328                                 02727-PAL-08328                                                                                                                                                                                                                                                                                                                                          
02727-PAL-08332                                 02727-PAL-08332                                                                                                                                                                                                                                                                                                                                          
07233-HS-08301                                  07233-HS-08301                                                                                                                                                                                                                                                                                                                                           
02727-MI-08355                                  02727-MI-08355                                                                                                                                                                                                                                                                                                                                           
07233-PI-08321                                  07233-PI-08321                                                                                                                                                                                                                                                                                                                                           
07233-PI-08323                                  07233-PI-08323                                                                                                                                                                                                                                                                                                                                           
02727-MI-08345                                  02727-MI-08345                                                                                                                                                                                                                                                                                                                                           
07233-PAL-08323                                 07233-PAL-08323                                                                                                                                                                                                                                                                                                                                          
07233-PAH-08323                                 07233-PAH-08323                                                                                                                                                                                                                                                                                                                                          
02727-PI-08336                                  02727-PI-08336                                                                                                                                                                                                                                                                                                                                           
